AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2014-15,50,7.9,7.5,7.4,7.4,169,"3,785",0,"3,954","53,541",> 100%
National,,All,2014-15,51,8,7.6,8.1,8.1,312,"4,098",0,"4,410","54,611",> 100%
National,,All,2014-15,52,8.1,7.7,8.5,8.5,512,"4,264",0,"4,776","56,014",> 100%
National,,All,2014-15,53,8.2,7.8,10.2,10.2,"1,014","5,034",0,"6,048","59,340",> 100%
National,,All,2014-15,1,8.3,7.9,10.8,10.8,"1,099","5,576",0,"6,675","61,737",> 100%
National,,All,2014-15,2,8.4,8,10.7,10.7,981,"5,589",0,"6,570","61,141",> 100%
National,,All,2014-15,3,8.5,8.1,10.1,10.1,710,"5,183",0,"5,893","58,628",> 100%
National,,All,2014-15,4,8.5,8.1,9.5,9.5,585,"4,856",0,"5,441","57,269",> 100%
National,,All,2014-15,5,8.5,8.1,9.1,9.1,482,"4,733",0,"5,215","57,284",> 100%
National,,All,2014-15,6,8.6,8.2,8.8,8.8,405,"4,569",0,"4,974","56,420",> 100%
National,,All,2014-15,7,8.6,8.2,8.4,8.4,282,"4,478",0,"4,760","56,348",> 100%
National,,All,2014-15,8,8.6,8.1,8.5,8.5,221,"4,498",0,"4,719","55,668",> 100%
National,,All,2014-15,9,8.5,8.1,8.4,8.4,189,"4,494",0,"4,683","55,732",> 100%
National,,All,2014-15,10,8.5,8.1,8.3,8.3,156,"4,418",0,"4,574","55,272",> 100%
National,,All,2014-15,11,8.4,8,8,8,139,"4,179",0,"4,318","54,262",> 100%
National,,All,2014-15,12,8.3,7.9,7.5,7.5,121,"3,887",0,"4,008","53,238",> 100%
National,,All,2014-15,13,8.2,7.8,7.4,7.4,99,"3,825",0,"3,924","53,009",> 100%
National,,All,2014-15,14,8.1,7.7,7.5,7.5,100,"3,827",0,"3,927","52,696",> 100%
National,,All,2014-15,15,8,7.6,7.6,7.6,75,"3,920",0,"3,995","52,844",> 100%
National,,All,2014-15,16,7.9,7.5,7.5,7.5,63,"3,805",0,"3,868","51,608",> 100%
National,,All,2014-15,17,7.8,7.4,7.2,7.2,50,"3,652",0,"3,702","51,466",> 100%
National,,All,2014-15,18,7.6,7.2,6.9,6.9,28,"3,550",0,"3,578","51,659",> 100%
National,,All,2014-15,19,7.5,7.1,6.9,6.9,22,"3,474",0,"3,496","50,672",> 100%
National,,All,2014-15,20,7.3,6.9,6.6,6.6,14,"3,235",0,"3,249","49,327",> 100%
National,,All,2014-15,21,7.2,6.8,6.8,6.8,18,"3,364",0,"3,382","49,718",> 100%
National,,All,2014-15,22,7.1,6.7,6.5,6.5,10,"3,189",0,"3,199","49,041",> 100%
National,,All,2014-15,23,6.9,6.5,6.5,6.5,11,"3,211",0,"3,222","49,751",> 100%
National,,All,2014-15,24,6.8,6.4,6.4,6.4,6,"3,150",0,"3,156","49,109",> 100%
National,,All,2014-15,25,6.7,6.3,6.5,6.5,4,"3,197",0,"3,201","49,057",> 100%
National,,All,2014-15,26,6.6,6.2,6.3,6.3,6,"3,111",0,"3,117","49,218",> 100%
National,,All,2014-15,27,6.5,6.1,6.3,6.3,7,"3,081",0,"3,088","48,917",> 100%
National,,All,2014-15,28,6.4,6,6.2,6.2,7,"3,030",0,"3,037","49,227",> 100%
National,,All,2014-15,29,6.3,5.9,6.2,6.2,3,"3,003",0,"3,006","48,548",> 100%
National,,All,2014-15,30,6.2,5.8,6,6,4,"2,892",0,"2,896","48,258",> 100%
National,,All,2014-15,31,6.2,5.8,6.1,6.1,4,"2,920",0,"2,924","47,732",> 100%
National,,All,2014-15,32,6.2,5.8,5.9,5.9,8,"2,834",0,"2,842","47,977",> 100%
National,,All,2014-15,33,6.1,5.7,6.1,6.1,6,"2,935",0,"2,941","48,438",> 100%
National,,All,2014-15,34,6.2,5.8,6,6,5,"2,903",0,"2,908","48,496",> 100%
National,,All,2014-15,35,6.2,5.8,6,6,3,"2,938",0,"2,941","48,723",> 100%
National,,All,2014-15,36,6.2,5.8,6,6,3,"2,946",0,"2,949","48,762",> 100%
National,,All,2014-15,37,6.3,5.9,6.2,6.2,6,"3,001",0,"3,007","48,857",> 100%
National,,All,2014-15,38,6.3,5.9,6.2,6.2,8,"3,047",0,"3,055","49,228",> 100%
National,,All,2014-15,39,6.4,6,6.3,6.3,6,"3,057",0,"3,063","48,805",> 100%
National,,All,2013-14,40,6.8,6.4,6.6,6.6,3,"3,140",0,"3,143","47,492",99.8%
National,,All,2013-14,41,6.9,6.5,6.7,6.7,12,"3,135",0,"3,147","47,304",99.4%
National,,All,2013-14,42,7,6.6,6.8,6.8,11,"3,216",0,"3,227","47,602",> 100%
National,,All,2013-14,43,7.1,6.7,6.6,6.6,11,"3,151",0,"3,162","47,746",> 100%
National,,All,2013-14,44,7.2,6.8,6.7,6.7,12,"3,271",0,"3,283","48,777",> 100%
National,,All,2013-14,45,7.3,6.9,7,7,17,"3,429",0,"3,446","48,939",> 100%
National,,All,2013-14,46,7.4,7,6.7,6.7,15,"3,320",0,"3,335","49,409",> 100%
National,,All,2013-14,47,7.5,7.1,7,7,28,"3,430",0,"3,458","49,591",> 100%
National,,All,2013-14,48,7.7,7.3,6.9,6.9,33,"3,385",0,"3,418","49,288",> 100%
National,,All,2013-14,49,7.8,7.4,7.2,7.2,42,"3,594",0,"3,636","50,812",> 100%
National,,All,2013-14,50,7.9,7.5,7.6,7.6,68,"3,856",0,"3,924","51,848",> 100%
National,,All,2013-14,51,8,7.6,7.7,7.7,107,"3,917",0,"4,024","52,548",> 100%
National,,All,2013-14,52,8.1,7.7,8,8,207,"3,942",0,"4,149","51,954",> 100%
National,,All,2013-14,1,8.2,7.8,9.1,9.1,350,"4,490",0,"4,840","53,277",> 100%
National,,All,2013-14,2,8.3,7.9,9.8,9.8,459,"4,987",0,"5,446","55,620",> 100%
National,,All,2013-14,3,8.4,7.9,10,10,474,"5,004",0,"5,478","54,580",> 100%
National,,All,2013-14,4,8.4,8,9.7,9.7,442,"4,783",0,"5,225","54,085",> 100%
National,,All,2013-14,5,8.4,8,9.3,9.3,385,"4,623",0,"5,008","53,955",> 100%
National,,All,2013-14,6,8.5,8.1,9,9,315,"4,475",0,"4,790","53,397",> 100%
National,,All,2013-14,7,8.5,8.1,8.7,8.7,271,"4,385",0,"4,656","53,815",> 100%
National,,All,2013-14,8,8.5,8.1,8,8,209,"3,989",0,"4,198","52,642",> 100%
National,,All,2013-14,9,8.5,8.1,7.8,7.8,161,"3,868",0,"4,029","51,674",> 100%
National,,All,2013-14,10,8.4,8,8,8,125,"4,048",0,"4,173","52,058",> 100%
National,,All,2013-14,11,8.4,8,7.8,7.8,93,"3,941",0,"4,034","51,782",> 100%
National,,All,2013-14,12,8.3,7.9,7.6,7.6,74,"3,833",0,"3,907","51,385",> 100%
National,,All,2013-14,13,8.3,7.9,7.6,7.6,65,"3,795",0,"3,860","50,858",> 100%
National,,All,2013-14,14,8.2,7.8,7.6,7.6,55,"3,808",0,"3,863","50,749",> 100%
National,,All,2013-14,15,8.1,7.7,7.5,7.5,72,"3,717",0,"3,789","50,532",> 100%
National,,All,2013-14,16,8,7.6,7.3,7.3,53,"3,577",0,"3,630","49,736",> 100%
National,,All,2013-14,17,7.9,7.5,7.1,7.1,54,"3,476",0,"3,530","49,747",> 100%
National,,All,2013-14,18,7.7,7.3,7.1,7.1,53,"3,483",0,"3,536","49,590",> 100%
National,,All,2013-14,19,7.6,7.2,7.1,7.1,39,"3,512",0,"3,551","50,321",> 100%
National,,All,2013-14,20,7.5,7.1,6.8,6.8,27,"3,222",0,"3,249","47,931",> 100%
National,,All,2013-14,21,7.4,7,6.7,6.7,24,"3,242",0,"3,266","48,598",> 100%
National,,All,2013-14,22,7.2,6.8,6.6,6.6,15,"3,140",0,"3,155","48,163",> 100%
National,,All,2013-14,23,7.1,6.7,6.8,6.8,20,"3,218",0,"3,238","47,750",> 100%
National,,All,2013-14,24,7,6.6,6.8,6.8,15,"3,214",0,"3,229","47,715",> 100%
National,,All,2013-14,25,6.9,6.5,6.5,6.5,7,"3,070",0,"3,077","47,540",99.9%
National,,All,2013-14,26,6.8,6.4,6.3,6.3,3,"2,989",0,"2,992","47,341",99.5%
National,,All,2013-14,27,6.7,6.3,6.3,6.3,6,"2,989",0,"2,995","47,240",99.3%
National,,All,2013-14,28,6.6,6.2,6.3,6.3,4,"2,982",0,"2,986","47,292",99.4%
National,,All,2013-14,29,6.5,6.1,6.3,6.3,7,"2,939",0,"2,946","47,098",99%
National,,All,2013-14,30,6.5,6.1,6.3,6.3,3,"2,983",0,"2,986","47,122",99%
National,,All,2013-14,31,6.4,6,6.2,6.2,5,"2,919",0,"2,924","46,936",98.6%
National,,All,2013-14,32,6.4,6,6,6,1,"2,826",0,"2,827","46,885",98.5%
National,,All,2013-14,33,6.4,6,6.2,6.2,5,"2,864",0,"2,869","46,646",98%
National,,All,2013-14,34,6.4,6,6.2,6.2,6,"2,867",0,"2,873","46,630",98%
National,,All,2013-14,35,6.4,6,6.1,6.1,5,"2,812",0,"2,817","46,391",97.5%
National,,All,2013-14,36,6.4,6,6.3,6.3,1,"2,959",0,"2,960","47,264",99.3%
National,,All,2013-14,37,6.4,6,6.1,6.1,4,"2,871",0,"2,875","46,777",98.3%
National,,All,2013-14,38,6.5,6.1,6.2,6.2,6,"2,981",0,"2,987","47,911",> 100%
National,,All,2013-14,39,6.6,6.2,6.2,6.2,6,"3,013",0,"3,019","48,369",> 100%
