0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,1,0
0,0,0,0
1,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,1,0
2,0,2,0
0,0,0,0
1,0,1,0
3,0,3,0
10,1,10,1
9,0,9,0
17,0,17,0
13,0,13,0
5,0,5,0
8,0,8,0
12,0,12,0
21,0,21,0
18,0,18,0
23,0,23,0
23,1,23,1
6,0,6,0
12,0,12,0
23,1,23,1
29,0,29,0
26,0,26,0
23,0,23,0
29,0,29,0
8,0,8,0
9,0,9,0
16,0,16,0
26,1,26,1
18,6,18,6
21,2,21,2
25,0,25,0
10,3,10,3
9,1,9,1
17,2,17,2
24,1,24,1
15,1,15,1
22,3,22,3
17,1,17,1
9,2,9,2
58,8,58,8
155,23,155,23
163,22,163,22
234,26,234,26
257,39,257,39
302,42,302,42
144,30,144,30
143,22,143,22
252,34,252,34
305,34,305,34
302,53,302,53
304,51,304,51
308,56,308,56
193,35,193,35
26,3,26,3
70,12,70,12
69,13,69,13
93,21,93,21
130,24,130,24
129,26,129,26
68,14,68,14
73,16,73,16
120,21,120,21
159,36,159,36
146,47,146,47
138,34,138,34
659,145,659,145
262,64,262,64
266,83,266,83
560,121,560,121
575,140,575,140
622,147,622,147
629,157,629,157
607,157,607,157
234,80,234,80
204,64,204,64
492,125,492,125
585,157,585,157
561,158,561,158
570,173,570,173
600,200,600,200
217,88,217,88
227,111,227,111
467,195,467,195
561,210,561,210
545,215,545,215
550,211,550,211
