COVID-19 (2019-20),inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,11,18,25,34,46,59,77,92,114,136,163,201,242,324,363,445,486,564,686,820,954,1068,1140,1223,1328,1532,1757,1947,2141,2361,2462,2587,2741,2906,3313,3670,4045,4271,4543,5063,5511,5901,6410,6750,7025,7343,7921,8588,9188,9992,10656,11123,11625,12404,13158,13993,14817,15633,16118,16853,17983,18894,20082,21048,22013,22716,23522,24549,25697,26764,27944,28834,29314,30046,31278,32547,34039,35047,35957,36499,37312,38497,39797,41058,41901,42791,43389,44118,45456,46665,47869,49090,50058,50659,51407,52771,53874,55054,56109,57103,57658,58385,59656,60713,61990,63254,64365,64900,65556,66868,68055,69254,70524,71492,72151,72921,74262,75523,76822,77932,78817,79533,80251,81597,82890,84207,85385,86496,87052,87679,88634,90188,91377,92568,93616,94130,94702,96096,97418,98644,99702,100543,101136,101857,103099,104263,105564,106571,107297,107879,108654,110019,111189,112423,113454,114277,114772,115451,116666,117756,118726,119594,120498,120896,121515,122681,123899,124729,125584,126230,126686,127001,127517,128653,129575,130474,131274,131663,132117,133207,134174,135031,135857,136565,136895,137350,138159,139065,139883,140709,141441,141776,142161,143010,143962,144767,145431,146011,146375,146773,147571,148304,149034,149692,150236,150506,150709,151063,151779,152513,153229,153690,153905,154226,154888,155459,155962,156528,156926,157163,157451,157981,158468,159033,159562,159902,160104,160272,160548,161170,161779,162035,162286,162397,162638,162842,163406,164332,164946,165673,165811,166067,166743,167497,168141,168662,169016,169197,169541,170179,170799,171497,171998,172637,172848,173165,173862,174531,175307,175981,176641,176962,177388,178184,179032,179801,180453,181143,181419,181945,182854,183822,184876,185687,186356,186773,187322,188285,189264,190032,190515,190815,191146,191641,192716,193940,194976,195441,195742,196018,196591,197777,199043,200498,201542,202657,203140,203617,204726,206009,207160,208291,209350,209868,210328,211511,212893,214228,215299,216475,217081,217712,218918,220237,221676,222775,223971,224534,225143,226383,227592,228883,230127,231069,231561,232248,233588,234945,236397,237601,238647,239294,239895,240983,242178,243610,244955,246006,246560,247276,248646,250079,251661,252988,254263,255018,255836,257562,259402,261188,262948,264446,265500,266614,268568,270917,273124,275276,277216,278327,279602,282400,285136,287795,290525,292856,294115,295685,298843,301087,303726,307326,310694,312299,314268,317936,321886,325559,328366,330297,331530,333153,337364,341097,345287,348934,351469,353293,355031,358718,362180,365954,369024,371889,373442,375049,378530,381687,383757,386623,389609,390925,392204,395324,398343,401417,404287,406565,407775,408829,411854,414645,417176,419393,421484,422418,423436,425711,428256,430596,432785,434852,435823,436862,439379,441864,444391,446527,448291,449185,450026,452224,454623,456753,459171,461142,462092,462966,465312,467706,469784,470968,472629,473495,474614,477307,479791,482135,484350,486358,487476,488404,491164,493837,496172,498621,500868,501918,502817,504897,507240,509282
Swine flu (2009),inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,7,9,11,12,13,14,15,18,22,29,34,41,48,55,63,72,81,91,101,112,123,135,147,160,174,188,202,217,233,249,266,283,301,319,338,357,377,398,419,440,463,485,508,532,557,581,606,630,654,678,702,725,748,771,794,817,839,861,883,905,927,948,969,990,1011,1031,1051,1072,1091,1111,1130,1150,1169,1187,1206,1224,1243,1261,1278,1296,1313,1330,1347,1364,1380,1397,1413,1429,1444,1460,1475,1490,1505,1520,1534,1548,1562,1576,1590,1603,1616,1629,1642,1655,1667,1679,1691,1703,1715,1726,1737,1748,1759,1770,1780,1790,1800,1810,1820,1829,1838,1847,1856,1865,1873,1881,1889,1897,1905,1912,1920,1927,1934,1940,1947,1953,1959,1965,1971,1976,1982,1987,1992,1997,2001,2006,2010,2014,2018,2022,2025,2029,2032,2035,2037,2040,2043,2045,2047,2049,2051,2052,2054,2055,2056,2057,2058,2058,2059,2059,2059,2060,2060,2061,2061,2062,2063,2063,2064,2064,2065,2066,2066,2067,2067,2068,2069,2069,2070,2070,2071,2072,2072,2073,2073,2074,2075,2075,2076,2076,2077,2078,2078,2079,2079,2080,2081,2081,2082,2082,2083,2084,2084,2085,2085,2086,2087,2087,2088,2088,2089,2090,2090,2091,2091,2092,2093,2093,2094,2094,2095,2095,2096,2097,2097,2098,2098,2099,2100,2100,2101,2101,2102,2103,2103,2104,2104,2105,2106,2106,2107,2107,2108,2109,2109,2110,2110,2111,2112,2112,2113,2113,2114,2115,2115,2116,2116,2117,2118,2118,2119,2119,2120,2121,2121,2122,2122,2123,2124,2124,2125,2125,2126,2127,2127,2128,2128,2129,2130,2130,2131,2131,2132,2133,2133,2134,2134,2135,2136,2136,2137,2137,2138,2139,2139,2140,2140,2141,2142,2142,2143,2143,2144,2145,2145,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146
Swine flu (2016),inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,5,6,7,8,9,9,10,11,12,14,15,16,17,18,20,21,23,24,26,27,29,30,32,34,36,37,39,41,43,45,47,49,51,54,56,58,60,63,65,68,70,73,75,78,81,83,86,89,92,95,98,101,104,107,110,113,116,119,123,126,129,133,136,140,144,147,151,155,159,169,179,189,199,209,219,230,241,252,263,274,285,296,308,319,331,342,354,365,377,389,400,412,424,436,448,460,472,484,496,508,521,533,545,558,570,583,595,608,621,634,646,659,672,685,698,711,724,737,751,764,777,790,804,817,831,844,858,872,886,917,949,981,1003,1024,1044,1063,1081,1098,1114,1129,1143,1156,1168,1179,1189,1198,1206,1213,1219,1224,1228,1231,1233,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234
Influenza (2018),inc,4,11,16,22,27,33,38,45,50,56,61,67,72,79,85,90,97,101,108,113,119,126,131,137,144,148,155,161,166,173,179,186,192,197,203,210,216,223,229,236,242,249,255,262,268,275,283,289,296,302,310,317,323,331,338,344,352,359,367,375,381,389,398,404,412,420,428,435,443,451,459,467,475,483,491,501,509,517,525,535,543,551,561,569,579,587,597,606,614,624,634,642,652,661,671,681,690,700,710,720,729,741,750,760,770,781,791,800,812,821,833,844,854,865,875,886,898,909,920,930,941,953,964,975,987,998,1009,1022,1033,1045,1056,1067,1080,1092,1103,1116,1127,1140,1152,1164,1176,1189,1200,1213,1224,1237,1250,1262,1275,1287,1300,1313,1325,1338,1351,1364,1376,1389,1402,1414,1427,1440,1452,1465,1478,1491,1504,1517,1530,1543,1558,1571,1584,1596,1609,1622,1635,1648,1661,1674,1689,1702,1715,1728,1741,1753,1766,1779,1792,1807,1820,1833,1846,1859,1872,1885,1897,1910,1923,1936,1949,1962,1975,1988,2001,2014,2027,2040,2053,2066,2079,2090,2103,2116,2129,2142,2153,2166,2179,2190,2203,2216,2228,2240,2252,2265,2276,2289,2300,2313,2325,2336,2349,2360,2372,2384,2396,2407,2418,2430,2441,2452,2464,2475,2486,2498,2509,2520,2532,2541,2553,2564,2574,2585,2596,2606,2617,2627,2637,2648,2658,2668,2679,2689,2698,2708,2718,2728,2737,2747,2757,2766,2776,2786,2795,2805,2813,2823,2833,2841,2850,2859,2868,2876,2884,2894,2902,2910,2920,2928,2936,2944,2952,2961,2969,2977,2985,2993,3001,3009,3016,3024,3032,3040,3046,3054,3061,3069,3077,3083,3090,3098,3105,3113,3119,3126,3132,3140,3147,3153,3160,3166,3172,3179,3185,3192,3198,3205,3211,3218,3224,3231,3237,3244,3249,3255,3261,3268,3273,3279,3286,3292,3297,3304,3308,3315,3321,3326,3333,3338,3344,3350,3355,3362,3367,3373,3378,3384,3389,3396,3401,3407,3412,3418,3423,3428,3435,3439,3446,3451,3457,3462,3469,3473,3480,3485,3491,3496,3503,3509,3514,3520,3525,3532,3537,3543,3549,3554,3561,3567,3572,3579,3585,3590,3596,3603,3609,3616,3621,3627,3634,3640,3647,3653,3659,3666,3672,3679,3685,3692,3698,3706,3713,3719,3726,3734,3740,3747,3755,3761,3768,3776,3782,3791,3799,3805,3813,3821,3828,3836,3844,3852,3859,3867,3875,3883,3891,3899,3907,3915,3925,3933,3941,3949,3959,3967,3975,3985,3993,4003,4011,4020,4030,4038,4048,4058,4066,4075,4085,4095,4104,4114,4124,4134,4143,4153,4164,4174,4184,4193,4205,4214,4224,4236,4245,4257,4268,4278,4289,4299,4310,4321,4333,4344,4354,4365,4376,4388,4399,4410,4422,4433,4446,4457,4469,4480,4491,4504,4515,4527,4540,4551,4564,4575,4588,4600,4613,4624,4637,4648,4661,4674,4685,4698,4711,4724,4737,4748,4761,4774,4787,4800,4813,4826,4837,4850,4863,4876,4889,4902,4915,4928,4941,4954,4967,4981,4995,5009,5023,5037
Car crashes (2015),inc,115,230,345,460,575,690,805,921,1036,1151,1266,1381,1496,1611,1726,1841,1956,2071,2186,2301,2416,2532,2647,2762,2877,2992,3107,3222,3337,3452,3567,3682,3797,3912,4027,4142,4258,4373,4488,4603,4718,4833,4948,5063,5178,5293,5408,5523,5638,5753,5868,5984,6099,6214,6329,6444,6559,6674,6789,6904,7019,7134,7249,7364,7479,7595,7710,7825,7940,8055,8170,8285,8400,8515,8630,8745,8860,8975,9090,9205,9321,9436,9551,9666,9781,9896,10011,10126,10241,10356,10471,10586,10701,10816,10932,11047,11162,11277,11392,11507,11622,11737,11852,11967,12082,12197,12312,12427,12542,12658,12773,12888,13003,13118,13233,13348,13463,13578,13693,13808,13923,14038,14153,14268,14384,14499,14614,14729,14844,14959,15074,15189,15304,15419,15534,15649,15764,15879,15995,16110,16225,16340,16455,16570,16685,16800,16915,17030,17145,17260,17375,17490,17605,17721,17836,17951,18066,18181,18296,18411,18526,18641,18756,18871,18986,19101,19216,19332,19447,19562,19677,19792,19907,20022,20137,20252,20367,20482,20597,20712,20827,20942,21058,21173,21288,21403,21518,21633,21748,21863,21978,22093,22208,22323,22438,22553,22668,22784,22899,23014,23129,23244,23359,23474,23589,23704,23819,23934,24049,24164,24279,24395,24510,24625,24740,24855,24970,25085,25200,25315,25430,25545,25660,25775,25890,26005,26121,26236,26351,26466,26581,26696,26811,26926,27041,27156,27271,27386,27501,27616,27732,27847,27962,28077,28192,28307,28422,28537,28652,28767,28882,28997,29112,29227,29342,29458,29573,29688,29803,29918,30033,30148,30263,30378,30493,30608,30723,30838,30953,31068,31184,31299,31414,31529,31644,31759,31874,31989,32104,32219,32334,32449,32564,32679,32795,32910,33025,33140,33255,33370,33485,33600,33715,33830,33945,34060,34175,34290,34405,34521,34636,34751,34866,34981,35096,35211,35326,35441,35556,35671,35786,35901,36016,36132,36247,36362,36477,36592,36707,36822,36937,37052,37167,37282,37397,37512,37627,37742,37858,37973,38088,38203,38318,38433,38548,38663,38778,38893,39008,39123,39238,39353,39468,39584,39699,39814,39929,40044,40159,40274,40389,40504,40619,40734,40849,40964,41079,41195,41310,41425,41540,41655,41770,41885,42000,42115,42230,42345,42460,42575,42690,42805,42920,43035,43150,43265,43380,43495,43610,43725,43840,43955,44070,44185,44300,44415,44530,44645,44760,44875,44990,45105,45220,45335,45450,45565,45680,45795,45910,46025,46140,46255,46370,46485,46600,46715,46830,46945,47060,47175,47290,47405,47520,47635,47750,47865,47980,48095,48210,48325,48440,48555,48670,48785,48900,49015,49130,49245,49360,49475,49590,49705,49820,49935,50050,50165,50280,50395,50510,50625,50740,50855,50970,51085,51200,51315,51430,51545,51660,51775,51890,52005,52120,52235,52350,52465,52580,52695,52810,52925,53040,53155,53270,53385,53500,53615,53730,53845,53960,54075,54190,54305,54420,54535,54650,54765,54880,54995,55110,55225,55340,55455,55570,55685,55800,55915,56030,56145,56260,56375,56490,56605,56720,56835,56950,57065,57180,57295,57410,57525,57640,57755,57870,57985,58100,58215,58330,58445,58560,58675,58790,58905,59020,59135,59250,59365,59480,59595,59710,59825,59940,60055,60170,60285,60400,60515,60630,60745,60860,60975,61090,61205,61320,61435,61550,61665,61780,61895,62010,62125
Influenza (annual),est,4,11,16,22,27,33,38,45,50,56,61,67,72,79,85,90,97,101,108,113,119,126,131,137,144,148,155,161,166,173,179,186,192,197,203,210,216,223,229,236,242,249,255,262,268,275,283,289,296,302,310,317,323,331,338,344,352,359,367,375,381,389,398,404,412,420,428,435,443,451,459,467,475,483,491,501,509,517,525,535,543,551,561,569,579,587,597,606,614,624,634,642,652,661,671,681,690,700,710,720,729,741,750,760,770,781,791,800,812,821,833,844,854,865,875,886,898,909,920,930,941,953,964,975,987,998,1009,1022,1033,1045,1056,1067,1080,1092,1103,1116,1127,1140,1152,1164,1176,1189,1200,1213,1224,1237,1250,1262,1275,1287,1300,1313,1325,1338,1351,1364,1376,1389,1402,1414,1427,1440,1452,1465,1478,1491,1504,1517,1530,1543,1558,1571,1584,1596,1609,1622,1635,1648,1661,1674,1689,1702,1715,1728,1741,1753,1766,1779,1792,1807,1820,1833,1846,1859,1872,1885,1897,1910,1923,1936,1949,1962,1975,1988,2001,2014,2027,2040,2053,2066,2079,2090,2103,2116,2129,2142,2153,2166,2179,2190,2203,2216,2228,2240,2252,2265,2276,2289,2300,2313,2325,2336,2349,2360,2372,2384,2396,2407,2418,2430,2441,2452,2464,2475,2486,2498,2509,2520,2532,2541,2553,2564,2574,2585,2596,2606,2617,2627,2637,2648,2658,2668,2679,2689,2698,2708,2718,2728,2737,2747,2757,2766,2776,2786,2795,2805,2813,2823,2833,2841,2850,2859,2868,2876,2884,2894,2902,2910,2920,2928,2936,2944,2952,2961,2969,2977,2985,2993,3001,3009,3016,3024,3032,3040,3046,3054,3061,3069,3077,3083,3090,3098,3105,3113,3119,3126,3132,3140,3147,3153,3160,3166,3172,3179,3185,3192,3198,3205,3211,3218,3224,3231,3237,3244,3249,3255,3261,3268,3273,3279,3286,3292,3297,3304,3308,3315,3321,3326,3333,3338,3344,3350,3355,3362,3367,3373,3378,3384,3389,3396,3401,3407,3412,3418,3423,3428,3435,3439,3446,3451,3457,3462,3469,3473,3480,3485,3491,3496,3503,3509,3514,3520,3525,3532,3537,3543,3549,3554,3561,3567,3572,3579,3585,3590,3596,3603,3609,3616,3621,3627,3634,3640,3647,3653,3659,3666,3672,3679,3685,3692,3698,3706,3713,3719,3726,3734,3740,3747,3755,3761,3768,3776,3782,3791,3799,3805,3813,3821,3828,3836,3844,3852,3859,3867,3875,3883,3891,3899,3907,3915,3925,3933,3941,3949,3959,3967,3975,3985,3993,4003,4011,4020,4030,4038,4048,4058,4066,4075,4085,4095,4104,4114,4124,4134,4143,4153,4164,4174,4184,4193,4205,4214,4224,4236,4245,4257,4268,4278,4289,4299,4310,4321,4333,4344,4354,4365,4376,4388,4399,4410,4422,4433,4446,4457,4469,4480,4491,4504,4515,4527,4540,4551,4564,4575,4588,4600,4613,4624,4637,4648,4661,4674,4685,4698,4711,4724,4737,4748,4761,4774,4787,4800,4813,4826,4837,4850,4863,4876,4889,4902,4915,4928,4941,4954,4967,4981,4995,5009,5023,5037
