us	331653357
india	1384530463
brazil	213065184
russia	145955577
france	65322146
spain	46760889
argentina	45334239
colombia	51063623
uk	68005651
mexico	129384259
peru	33124270
south-africa	59557257
italy	60431760
iran	84350228
germany	83874045
chile	19171027
iraq	40518623
belgium	11606564
indonesia	274487572
bangladesh	165236639
ukraine	43644446
philippines	110065461
poland	37832599
turkey	84641457
netherlands	17147638
saudi-arabia	34993401
czech-republic	10715674
pakistan	222305345
romania	19194034
canada	37852693
morocco	37056130
nepal	29309783
ecuador	17731812
switzerland	8675802
portugal	10186638
bolivia	11725880
panama	4337253
united-arab-emirates	9930151
dominican-republic	10884190
kuwait	4291506
sweden	10120367
oman	5149061
kazakhstan	18851428
costa-rica	5109650
austria	9023629
guatemala	18024881
egypt	102970736
japan	126345283
belarus	9448273
honduras	9956747
ethiopia	115894879
armenia	2965109
venezuela	28408650
lebanon	6815073
bahrain	1720646
hungary	9652045
moldova	4030789
jordan	10236920
uzbekistan	33630049
paraguay	7161674
nigeria	207810450
libya	6902312
ireland	4956155
tunisia	11859840
slovakia	5460534
kyrgyzstan	6559794
algeria	44112382
singapore	5865729
azerbaijan	10169695
kenya	54160114
bulgaria	6930634
state-of-palestine	5140279
myanmar	54531956
bosnia-and-herzegovina	3273880
croatia	4096659
serbia	8725434
ghana	31286198
denmark	5799060
afghanistan	39215952
greece	10405769
georgia	3986576
slovenia	2079034
el-salvador	6497188
malaysia	32503809
macedonia	2083345
australia	25598361
south-korea	51284066
cameroon	26761928
albania	2876735
cote-d-ivoire	26591897
norway	5435418
luxembourg	629347
montenegro	628093
madagascar	27923526
zambia	18551574
finland	5543621
lithuania	2709264
senegal	16887912
sudan	44184741
namibia	2556091
mozambique	31540517
uganda	46208919
guinea	13248911
maldives	543688
democratic-republic-of-the-congo	90444861
sri-lanka	21443410
tajikistan	9607927
angola	33197657
french-guiana	301210
jamaica	2965508
haiti	11448759
gabon	2242937
cabo-verde	557999
zimbabwe	14934664
mauritania	4689543
guadeloupe	400147
french-polynesia	281452
cuba	11324280
bahamas	394498
botswana	2367253
malta	441939
latvia	1879069
malawi	19291374
swaziland	1164169
syria	17639784
trinidad-and-tobago	1401012
reunion	897451
djibouti	992764
nicaragua	6650777
china-hong-kong-sar	7517315
congo	5562515
suriname	588387
rwanda	13057217
equatorial-guinea	1417888
estonia	1326836
iceland	341985
central-african-republic	4857506
andorra	77307
cyprus	1210300
aruba	106918
mayotte	274970
guyana	787826
somalia	16037601
thailand	69858934
gambia	2438769
mali	20440516
martinique	375167
belize	400010
uruguay	3477778
south-sudan	11237399
benin	12226842
burkina-faso	21090035
guinea-bissau	1983237
sierra-leone	8030358
togo	8342296
yemen	30041606
lesotho	2147928
chad	16579166
liberia	5096625
niger	24488583
viet-nam	97631052
curacao	164318
sao-tome-and-principe	220501
san-marino	33955
channel-islands	174398
sint-maarten	43038
turks-and-caicos-islands	38891
gibraltar	33688
papua-new-guinea	9002893
burundi	12005791
saint-martin	38884
taiwan	23831297
liechtenstein	38165
comoros	875688
tanzania	60287771
faeroe-islands	48925
eritrea	3562711
mauritius	1272479
monaco	39335
isle-of-man	85184
bhutan	774438
mongolia	3295759
cambodia	16795757
cayman-islands	65979
barbados	287494
bermuda	62200
caribbean-netherlands	26304
seychelles	98551
brunei-darussalam	438877
antigua-and-barbuda	98200
saint-lucia	183909
saint-barthelemy	9887
saint-vincent-and-the-grenadines	111059
british-virgin-islands	30298
dominica	72046
china-macao-sar	652273
fiji	898619
timor-leste	1326722
grenada	112698
new-caledonia	286414
holy-see	802
laos	7310568
saint-kitts-and-nevis	53325
greenland	56803
saint-pierre-and-miquelon	5784
montserrat	4993
falkland-islands-malvinas	3513
western-sahara	602143
solomon-islands	692395
anguilla	15048
marshall-islands	59324
wallis-and-futuna-islands	11171
israel	9197590
qatar	2807805
china	1439323776
new-zealand	5002100
